P_CO2 (mbar),Temp (K),CO2 Adsorption (mmol/g)
0,298.15,0
20,298.15,1.9
40,298.15,2.15
60,298.15,2.26
80,298.15,2.32
100,298.15,2.38
120,298.15,2.44
140,298.15,2.5
160,298.15,2.56
180,298.15,2.59
200,298.15,2.61
220,298.15,2.65
240,298.15,2.69
260,298.15,2.72
280,298.15,2.74
300,298.15,2.75
320,298.15,2.78
340,298.15,2.81
360,298.15,2.83
380,298.15,2.84
400,298.15,2.85
420,298.15,2.88
440,298.15,2.91
460,298.15,2.93
480,298.15,2.94
500,298.15,2.95
520,298.15,2.98
540,298.15,3
560,298.15,3.02
580,298.15,3.04
600,298.15,3.05
620,298.15,3.07
640,298.15,3.09
660,298.15,3.11
680,298.15,3.12
700,298.15,3.13
720,298.15,3.16
740,298.15,3.18
760,298.15,3.2
780,298.15,3.21
800,298.15,3.22
820,298.15,3.24
840,298.15,3.25
860,298.15,3.26
880,298.15,3.27
900,298.15,3.28
920,298.15,3.29
940,298.15,3.3
960,298.15,3.31
980,298.15,3.32
1000,298.15,3.33
0,323.15,0
20,323.15,1.35
40,323.15,1.55
60,323.15,1.65
80,323.15,1.75
100,323.15,1.8
120,323.15,1.86
140,323.15,1.92
160,323.15,1.95
180,323.15,1.97
200,323.15,1.99
220,323.15,2.03
240,323.15,2.06
260,323.15,2.08
280,323.15,2.09
300,323.15,2.12
320,323.15,2.16
340,323.15,2.19
360,323.15,2.21
380,323.15,2.23
400,323.15,2.25
420,323.15,2.27
440,323.15,2.28
460,323.15,2.29
480,323.15,2.3
500,323.15,2.3
520,323.15,2.32
540,323.15,2.34
560,323.15,2.36
580,323.15,2.37
600,323.15,2.38
620,323.15,2.4
640,323.15,2.42
660,323.15,2.43
680,323.15,2.44
700,323.15,2.45
720,323.15,2.47
740,323.15,2.49
760,323.15,2.5
780,323.15,2.51
800,323.15,2.52
820,323.15,2.54
840,323.15,2.55
860,323.15,2.56
880,323.15,2.57
900,323.15,2.58
920,323.15,2.59
940,323.15,2.6
960,323.15,2.61
980,323.15,2.62
1000,323.15,2.63
0,348.15,0
20,348.15,0.7
40,348.15,0.83
60,348.15,0.89
80,348.15,0.93
100,348.15,0.96
120,348.15,1
140,348.15,1.04
160,348.15,1.06
180,348.15,1.07
200,348.15,1.08
220,348.15,1.1
240,348.15,1.11
260,348.15,1.12
280,348.15,1.13
300,348.15,1.15
320,348.15,1.17
340,348.15,1.19
360,348.15,1.21
380,348.15,1.23
400,348.15,1.24
420,348.15,1.25
440,348.15,1.26
460,348.15,1.26
480,348.15,1.27
500,348.15,1.27
520,348.15,1.29
540,348.15,1.3
560,348.15,1.31
580,348.15,1.32
600,348.15,1.32
620,348.15,1.33
640,348.15,1.34
660,348.15,1.36
680,348.15,1.37
700,348.15,1.38
720,348.15,1.4
740,348.15,1.42
760,348.15,1.43
780,348.15,1.44
800,348.15,1.45
820,348.15,1.46
840,348.15,1.47
860,348.15,1.48
880,348.15,1.49
900,348.15,1.49
920,348.15,1.5
940,348.15,1.51
960,348.15,1.51
980,348.15,1.52
1000,348.15,1.52
