P_CO2 (mbar),Temp (K),CO2 Adsorption (mmol/g)
0,298.15,0
20,298.15,1.9
40,298.15,2.2
60,298.15,2.26
80,298.15,2.32
100,298.15,2.38
150,298.15,2.5
200,298.15,2.61
300,298.15,2.75
400,298.15,2.85
500,298.15,2.95
600,298.15,3.05
700,298.15,3.13
800,298.15,3.22
900,298.15,3.27
1000,298.15,3.33
0,323.15,0
20,323.15,1.35
40,323.15,1.55
60,323.15,1.65
80,323.15,1.75
100,323.15,1.8
150,323.15,1.88
200,323.15,1.99
300,323.15,2.1
400,323.15,2.25
500,323.15,2.3
600,323.15,2.38
700,323.15,2.45
800,323.15,2.52
900,323.15,2.58
1000,323.15,2.63
0,348.15,0
20,348.15,0.75
40,348.15,0.83
60,348.15,0.89
80,348.15,0.93
100,348.15,0.96
150,348.15,1.03
200,348.15,1.08
300,348.15,1.13
400,348.15,1.24
500,348.15,1.27
600,348.15,1.32
700,348.15,1.38
800,348.15,1.45
900,348.15,1.49
1000,348.15,1.52
