P_CO2 (mbar),Temp (K),CO2 Adsorption (mmol/g)
0,298.15,0
1,298.15,0.5
2,298.15,0.8
3,298.15,1.2
4,298.15,1.3
5,298.15,1.4
6,298.15,1.6
8,298.15,1.7
10,298.15,1.8
20,298.15,2
30,298.15,2.15
40,298.15,2.2
60,298.15,2.26
80,298.15,2.32
100,298.15,2.38
150,298.15,2.5
200,298.15,2.61
0,323.15,0
1,323.15,0.15
2,323.15,0.25
3,323.15,0.45
4,323.15,0.6
5,323.15,0.75
6,323.15,0.9
8,323.15,1.15
10,323.15,1.25
20,323.15,1.4
30,323.15,1.5
40,323.15,1.55
60,323.15,1.65
80,323.15,1.75
100,323.15,1.8
150,323.15,1.88
200,323.15,1.99
0,348.15,0
1,348.15,0.1
2,348.15,0.2
3,348.15,0.3
4,348.15,0.4
5,348.15,0.5
6,348.15,0.55
8,348.15,0.6
10,348.15,0.65
20,348.15,0.75
30,348.15,0.78
40,348.15,0.83
60,348.15,0.89
80,348.15,0.93
100,348.15,0.96
150,348.15,1.03
200,348.15,1.08
