pH2O (bar),pCO2 (bar),CO2 Adsorption (mmol/g),Temp (K)
0.025,0.15,2.566,313
0.025,0.15,2.614,313
0.025,0.15,2.643,313
0.025,0.05,2.041,313
0.025,0.05,2.065,313
0.025,0.05,2.125,313
0.025,0.025,1.551,313
0.025,0.025,1.623,313
0.025,0.025,1.688,313
0.025,0.15,2.304,328
0.025,0.15,2.357,328
0.025,0.15,2.405,328
0.025,0.05,1.827,328
0.025,0.05,1.857,328
0.025,0.05,1.904,328
0.025,0.025,1.223,328
0.025,0.025,1.259,328
0.025,0.025,1.307,328
0.025,0.15,2.059,343
0.025,0.15,2.107,343
0.025,0.15,2.155,343
0.025,0.05,1.386,343
0.025,0.05,1.433,343
0.025,0.05,1.505,343
0.025,0.025,0.747,343
0.025,0.025,0.794,343
0.025,0.025,0.842,343
0.0375,0.15,2.587,313
0.0375,0.15,2.622,313
0.0375,0.15,2.668,313
0.0375,0.05,2.024,313
0.0375,0.05,2.064,313
0.0375,0.05,2.099,313
0.0375,0.025,1.662,313
0.0375,0.025,1.709,313
0.0375,0.025,1.749,313
0.0375,0.15,2.418,328
0.0375,0.15,2.436,328
0.0375,0.15,2.453,328
0.0375,0.05,1.809,328
0.0375,0.05,1.832,328
0.0375,0.05,1.855,328
0.0375,0.025,1.267,328
0.0375,0.025,1.296,328
0.0375,0.025,1.314,328
0.0375,0.15,2.25,343
0.0375,0.15,2.279,343
0.0375,0.15,2.302,343
0.0375,0.05,1.565,343
0.0375,0.05,1.611,343
0.0375,0.05,1.64,343
0.0375,0.025,0.826,343
0.0375,0.025,0.855,343
0.0375,0.025,0.89,343
