pH2O (bar),Temp (K),Adsorption (mmol/g)
0.042302376,313,1.900735294
0.042299321,313,1.937132353
0.042297285,313,1.961397059
0.023240158,313,1.358823529
0.023329072,313,1.399264706
0.02323405,313,1.431617647
0.023516742,328,0.262867647
0.023514027,328,0.295220588
0.023510634,328,0.335661765
0.042330882,328,0.461029412
0.042420136,328,0.497426471
0.042416063,328,0.545955882
0.023806561,343,0.109191176
0.023525566,343,0.157720588
0.042360747,343,0.105147059
0.042355656,343,0.165808824
0.042353281,343,0.194117647
0.023245928,343,0.190073529
