pCO2 (bar),CO2 Adsorption (mmol/g),Temp (K)
0.001,0.191,313
0.001,0.115,313
0.001,0.421,313
0.001,0.345,313
0.001,0.285,313
0.001,0.243,313
0.002,0.552,313
0.002,0.486,313
0.003,0.757,313
0.002,0.667,313
0.003,0.848,313
0.003,0.955,313
0.004,1.008,313
0.004,1.098,313
0.005,1.188,313
0.005,1.270,313
0.006,1.315,313
0.006,1.402,313
0.007,1.481,313
0.008,1.552,313
0.009,1.618,313
0.010,1.688,313
0.011,1.760,313
0.012,1.817,313
0.013,1.882,313
0.015,1.948,313
0.017,2.012,313
0.019,2.073,313
0.022,2.126,313
0.024,2.158,313
0.026,2.189,313
0.029,2.241,313
0.032,2.270,313
0.034,2.294,313
0.037,2.315,313
0.039,2.336,313
0.041,2.352,313
0.044,2.367,313
0.046,2.381,313
0.049,2.388,313
0.051,2.402,313
0.054,2.415,313
0.056,2.425,313
0.059,2.436,313
0.061,2.442,313
0.064,2.452,313
0.066,2.454,313
0.069,2.464,313
0.071,2.469,313
0.074,2.477,313
0.076,2.479,313
0.079,2.487,313
0.081,2.492,313
0.084,2.494,313
0.086,2.500,313
0.089,2.505,313
0.091,2.506,313
0.094,2.510,313
0.096,2.515,313
0.099,2.518,313
0.101,2.519,313
0.104,2.522,313
0.106,2.529,313
0.109,2.530,313
0.111,2.532,313
0.114,2.534,313
0.116,2.536,313
0.119,2.541,313
0.121,2.544,313
0.124,2.546,313
0.126,2.547,313
0.128,2.547,313
0.131,2.549,313
0.133,2.551,313
0.136,2.557,313
0.138,2.557,313
0.141,2.558,313
0.143,2.560,313
0.146,2.560,313
0.148,2.558,313
0.152,2.558,313
0.154,2.560,313
0.156,2.561,313
0.002,0.235,328
0.003,0.322,328
0.003,0.388,328
0.004,0.447,328
0.004,0.517,328
0.005,0.585,328
0.005,0.635,328
0.006,0.705,328
0.007,0.781,328
0.008,0.853,328
0.009,0.919,328
0.010,0.979,328
0.011,1.048,328
0.012,1.105,328
0.013,1.168,328
0.015,1.227,328
0.016,1.286,328
0.018,1.346,328
0.020,1.407,328
0.022,1.467,328
0.024,1.510,328
0.026,1.568,328
0.029,1.622,328
0.032,1.665,328
0.034,1.704,328
0.037,1.737,328
0.039,1.768,328
0.041,1.796,328
0.044,1.822,328
0.046,1.845,328
0.050,1.870,328
0.053,1.910,328
0.055,1.914,328
0.058,1.931,328
0.060,1.947,328
0.062,1.962,328
0.065,1.975,328
0.067,1.988,328
0.070,1.999,328
0.072,2.011,328
0.075,2.023,328
0.077,2.032,328
0.080,2.040,328
0.082,2.050,328
0.085,2.060,328
0.087,2.066,328
0.090,2.078,328
0.092,2.082,328
0.095,2.090,328
0.097,2.094,328
0.100,2.103,328
0.102,2.108,328
0.105,2.117,328
0.107,2.119,328
0.110,2.126,328
0.112,2.130,328
0.115,2.134,328
0.117,2.143,328
0.120,2.146,328
0.122,2.148,328
0.125,2.155,328
0.127,2.157,328
0.130,2.159,328
0.132,2.167,328
0.135,2.171,328
0.137,2.173,328
0.140,2.176,328
0.142,2.182,328
0.145,2.185,328
0.147,2.187,328
0.150,2.195,328
0.152,2.187,328
0.155,2.196,328
0.157,2.196,328
0.159,2.200,328
0.001,0.063,343
0.002,0.149,343
0.004,0.195,343
0.006,0.258,343
0.007,0.326,343
0.009,0.384,343
0.010,0.443,343
0.012,0.501,343
0.014,0.560,343
0.016,0.618,343
0.019,0.678,343
0.021,0.732,343
0.024,0.784,343
0.026,0.830,343
0.028,0.871,343
0.031,0.912,343
0.034,0.949,343
0.036,0.983,343
0.039,1.014,343
0.041,1.043,343
0.044,1.070,343
0.047,1.103,343
0.051,1.126,343
0.053,1.160,343
0.056,1.186,343
0.058,1.202,343
0.061,1.221,343
0.063,1.238,343
0.066,1.255,343
0.068,1.270,343
0.071,1.285,343
0.073,1.299,343
0.076,1.311,343
0.078,1.324,343
0.081,1.336,343
0.083,1.348,343
0.086,1.355,343
0.088,1.369,343
0.091,1.380,343
0.093,1.390,343
0.096,1.398,343
0.098,1.408,343
0.101,1.416,343
0.103,1.423,343
0.106,1.433,343
0.108,1.440,343
0.111,1.448,343
0.113,1.453,343
0.116,1.464,343
0.118,1.468,343
0.121,1.475,343
0.123,1.482,343
0.126,1.488,343
0.128,1.494,343
0.131,1.501,343
0.133,1.503,343
0.136,1.514,343
0.139,1.516,343
0.141,1.521,343
0.144,1.529,343
0.146,1.531,343
0.149,1.533,343
0.154,1.544,343
0.157,1.556,343
0.159,1.556,343
