pCO2 (bar),CO2 Adsorption (mmol/g),Temp (K)
0,0,313
0.025,2.183,313
0.025,2.09,313
0.025,2.125,313
0.05,2.404,313
0.05,2.357,313
0.05,2.288,313
0.15,2.52,313
0.15,2.578,313
0.15,2.648,313
0,0,328
0.025,1.428,328
0.025,1.463,328
0.025,1.51,328
0.05,1.893,328
0.05,1.939,328
0.05,1.986,328
0.15,2.148,328
0.15,2.195,328
0.15,2.241,328
0,0,343
0.025,0.952,343
0.025,0.999,343
0.025,1.068,343
0.05,1.045,343
0.05,1.092,343
0.05,1.138,343
0.15,1.417,343
0.15,1.475,343
0.15,1.521,343
