pCO2 (kPa),Temp (K),CO2 Adsorption (mmol/g)
0,353.15,0
0.443,353.15,0.404
1.771,353.15,0.744
3.598,353.15,0.908
10.517,353.15,1.097
14.502,353.15,1.153
21.753,353.15,1.204
0,338.15,0
0.111,338.15,0.281
0.554,338.15,0.68
0.996,338.15,0.759
1.882,338.15,0.838
3.985,338.15,0.903
8.137,338.15,0.963
10.793,338.15,0.984
14.391,338.15,1.01
21.531,338.15,1.037
0,323.15,0
0.111,323.15,0.576
0.554,323.15,0.754
1.107,323.15,0.769
2.103,323.15,0.789
3.708,323.15,0.819
7.196,323.15,0.85
10.849,323.15,0.866
14.391,323.15,0.882
21.476,323.15,0.904
