pCO2 (kPa),Temp (K),CO2 Adsorption (mmol/g),,,
0,298.15,0,,,
0,298.15,1.142245989,,,
0,298.15,1.27486631,,,
0.172413793,298.15,1.43315508,,,
1.034483,298.15,1.694117647,,,
5.517241,298.15,1.92513369,,,
10.34483,298.15,2.049197861,,,
32.06897,298.15,2.22459893,,,
0,313.15,0,,,
0,313.15,1.005347594,,,
0.172413793,313.15,1.167914439,,,
0.172413793,313.15,1.326203209,,,
1.034483,313.15,1.6,,,
5.344828,313.15,1.77540107,,,
10.34483,313.15,1.878074866,,,
32.24138,313.15,2.040641711,,,
0,328.15,0,,,
0,328.15,0.393582888,,,
0.172413793,328.15,0.598930481,,,
0.172413793,328.15,0.885561497,,,
1.206897,328.15,1.368983957,,,
5.517241,328.15,1.642780749,,,
10.51724,328.15,1.74973262,,,
32.06897,328.15,1.929411765,,,
