pCO2 (bar),Temp (K),CO2 Adsorption (mmol/g)
0,313,0
0.005,313,1.35
0.01,313,1.78
0.015,313,2
0.02,313,2.14
0.025,313,2.22
0.03,313,2.26
0.035,313,2.3
0.04,313,2.33
0.045,313,2.36
0.05,313,2.374
0.055,313,2.389
0.06,313,2.403
0.065,313,2.418
0.07,313,2.432
0.075,313,2.446
0.08,313,2.461
0.085,313,2.475
0.09,313,2.478
0.095,313,2.482
0.1,313,2.485
0.105,313,2.489
0.11,313,2.492
0.115,313,2.496
0.12,313,2.499
0.125,313,2.503
0.13,313,2.506
0.135,313,2.51
0.14,313,2.513
0.145,313,2.517
0.15,313,2.52
0,328,0
0.005,328,0.675
0.01,328,1.05
0.015,328,1.2375
0.02,328,1.40625
0.025,328,1.5525
0.03,328,1.65
0.035,328,1.71
0.04,328,1.78
0.045,328,1.82
0.05,328,1.875
0.055,328,1.913
0.06,328,1.95
0.065,328,1.98
0.07,328,2.025
0.075,328,2.048
0.08,328,2.06
0.085,328,2.073
0.09,328,2.086
0.095,328,2.099
0.1,328,2.112
0.105,328,2.125
0.11,328,2.138
0.115,328,2.142
0.12,328,2.147
0.125,328,2.151
0.13,328,2.156
0.135,328,2.16
0.14,328,2.165
0.145,328,2.169
0.15,328,2.1735
0,343,0
0.005,343,0.225
0.01,343,0.45
0.015,343,0.6
0.02,343,0.72
0.025,343,0.81
0.03,343,0.9
0.035,343,0.99
0.04,343,1.05
0.045,343,1.095
0.05,343,1.17
0.055,343,1.2
0.06,343,1.238
0.065,343,1.26
0.07,343,1.275
0.075,343,1.294
0.08,343,1.315
0.085,343,1.35
0.09,343,1.369
0.095,343,1.387
0.1,343,1.406
0.105,343,1.421
0.11,343,1.435
0.115,343,1.449
0.12,343,1.463
0.125,343,1.477
0.13,343,1.491
0.135,343,1.505
0.14,343,1.519
0.145,343,1.537
0.15,343,1.5525
