pH2O (bar),Temp (K),Adsorption (mmol/g)
0,313,0
0.0025,313,0.20625
0.005,313,0.45833
0.0075,313,0.6875
0.01,313,0.916666
0.0125,313,1.045
0.015,313,1.16875
0.0175,313,1.28333
0.02,313,1.375
0.0225,313,1.44375
0.025,313,1.5125
0.0275,313,1.558333
0.03,313,1.6225
0.0325,313,1.6775
0.035,313,1.71875
0.0375,313,1.741666
0.04,313,1.7875
0,328,0
0.0025,328,0.0515625
0.005,328,0.103125
0.0075,328,0.1546875
0.01,328,0.20625
0.0125,328,0.240625
0.015,328,0.275
0.0175,328,0.309375
0.02,328,0.34375
0.0225,328,0.366666667
0.025,328,0.389583333
0.0275,328,0.4125
0.03,328,0.4296875
0.0325,328,0.446875
0.035,328,0.4640625
0.0375,328,0.48125
0.04,328,0.5
0,343,0
0.0025,343,0.01375
0.005,343,0.0275
0.0075,343,0.04125
0.01,343,0.055
0.0125,343,0.06875
0.015,343,0.076388889
0.0175,343,0.084027778
0.02,343,0.091666667
0.0225,343,0.099305556
0.025,343,0.106944444
0.0275,343,0.114583333
0.03,343,0.122222222
0.0325,343,0.129861111
0.035,343,0.1375
0.0375,343,0.145138889
0.04,343,0.152777778
